Cat	Countries	Dimension	value
Workers	Korea	Quality_of_opportunities	0.4125699
Workers	Japan	Quality_of_opportunities	0.5255014
Workers	United States	Quality_of_opportunities	0.8229766
Workers	Sweden	Quality_of_opportunities	0.7008089
Workers	Norway	Quality_of_opportunities	0.6759901
Workers	Denmark	Quality_of_opportunities	0.7179242
Workers	Germany	Quality_of_opportunities	0.6453484
Workers	New Zealand	Quality_of_opportunities	0.8142136
Workers	Iceland	Quality_of_opportunities	0.6039348
Workers	France	Quality_of_opportunities	0.6758331
Workers	Finland	Quality_of_opportunities	0.6488088
Workers	Portugal	Quality_of_opportunities	0.7453621
Workers	Switzerland	Quality_of_opportunities	0.6559026
Workers	Canada	Quality_of_opportunities	0.7666919
Workers	Netherlands	Quality_of_opportunities	0.5174323
Workers	Luxembourg	Quality_of_opportunities	0.8847721
Workers	Belgium	Quality_of_opportunities	0.6904931
Workers	United Kingdom	Quality_of_opportunities	0.779305
Workers	Israel	Quality_of_opportunities	0.6630816
Workers	Australia	Quality_of_opportunities	0.7265651
Workers	Spain	Quality_of_opportunities	0.4020697
Workers	Lithuania	Quality_of_opportunities	0.8291669
Workers	Estonia	Quality_of_opportunities	0.7203749
Workers	Slovenia	Quality_of_opportunities	0.777274
Workers	Ireland	Quality_of_opportunities	0.7269296
Workers	Austria	Quality_of_opportunities	0.5712934
Workers	Hungary	Quality_of_opportunities	0.9506371
Workers	Latvia	Quality_of_opportunities	0.8421836
Workers	Czech Republic	Quality_of_opportunities	0.8648182
Workers	Slovak Republic	Quality_of_opportunities	0.8938768
Workers	Greece	Quality_of_opportunities	0.4257599
Workers	Poland	Quality_of_opportunities	0.7322761
Workers	Italy	Quality_of_opportunities	0.4841354
Workers	Chile	Quality_of_opportunities	0.467019
Workers	Costa Rica	Quality_of_opportunities	0.2123895
Workers	Turkey	Quality_of_opportunities	0.679791
Workers	Mexico	Quality_of_opportunities	0.5981197
Workers	Colombia	Quality_of_opportunities	0.5673066
Entrepreneurs	Australia	Quality_of_opportunities	0.3789253
Entrepreneurs	Austria	Quality_of_opportunities	0.396913
Entrepreneurs	Belgium	Quality_of_opportunities	0.3564876
Entrepreneurs	Canada	Quality_of_opportunities	0.5295399
Entrepreneurs	Switzerland	Quality_of_opportunities	0.4173403
Entrepreneurs	Chile	Quality_of_opportunities	0.3232689
Entrepreneurs	Colombia	Quality_of_opportunities	0.3246736
Entrepreneurs	Costa Rica	Quality_of_opportunities	0.5293102
Entrepreneurs	Czech Republic	Quality_of_opportunities	0.3442271
Entrepreneurs	Germany	Quality_of_opportunities	0.2939395
Entrepreneurs	Denmark	Quality_of_opportunities	0.4701444
Entrepreneurs	Spain	Quality_of_opportunities	0.3033766
Entrepreneurs	Estonia	Quality_of_opportunities	0.4642376
Entrepreneurs	Finland	Quality_of_opportunities	0.4182604
Entrepreneurs	France	Quality_of_opportunities	0.3252205
Entrepreneurs	United Kingdom	Quality_of_opportunities	0.3894716
Entrepreneurs	Greece	Quality_of_opportunities	0.244128
Entrepreneurs	Hungary	Quality_of_opportunities	0.3889441
Entrepreneurs	Ireland	Quality_of_opportunities	0.5508502
