Cat	Countries	Quality_of_opportunities	Income	Future_prospects	Family_environment	Skills_environment	Inclusiveness	Quality_of_life	Penalty	Health	ITA
Workers	Australia	0.726565100	0.467524100	0.676472100	0.675884700	0.432498800	0.719913200	0.778565000	0.962812500	0.874735200	0.644140600
Workers	Austria	0.571293400	0.348433900	0.551541100	0.728979100	0.367129100	0.536312000	0.677674600	0.903093800	0.801858700	0.517384900
Workers	Belgium	0.690493100	0.296163000	0.630969900	0.583415300	0.450642300	0.468346000	0.693532000	0.987500000	0.814442700	0.571269300
Workers	Canada	0.766691900	0.405878900	0.721436700	0.531324800	0.471365200	0.672064500	0.758568200	0.926250000	0.762204200	0.589272600
Workers	Switzerland	0.655902600	0.511612500	0.431202300	0.737021000	0.493484100	0.771303300	0.782109400	0.987500000	0.798808500	0.639584500
Workers	Chile	0.467019000	0.621837700	0.525220200	0.534105700	0.243684700	0.407990800	0.390299600	0.926250000	0.327896000	0.407324600
Workers	Colombia	0.567306600	0.647249200	0.364140900	0.406821900	0.090496600	0.411709400	0.255049400	0.950625000	0.474422600	0.382293500
Workers	Costa Rica	0.212389500	0.465356700	0.411340600	0.416176500	0.168743100	0.312435900	0.383632000	0.950625000	0.594794200	0.352309800
Workers	Czech Republic	0.864818200	0.379037000	0.455871300	0.710751700	0.356116800	0.239112800	0.617968000	0.926250000	0.704681300	0.501142600
Workers	Germany	0.645348400	0.363464800	0.587357500	0.664790000	0.527015700	0.560052600	0.717635400	0.950625000	0.815917100	0.580069200
Workers	Denmark	0.717924200	0.489848200	0.377029500	0.611422500	0.544188300	0.606763900	0.740542200	0.975000000	0.866885100	0.603842400
Workers	Spain	0.402069700	0.355231600	0.676906100	0.675840600	0.421313700	0.537657800	0.607452800	0.950625000	0.667427900	0.516177500
Workers	Estonia	0.720374900	0.345344400	0.527607400	0.686552000	0.400952900	0.355356300	0.660433700	0.950625000	0.460552200	0.493989200
Workers	Finland	0.648808800	0.376990900	0.561345900	0.729007800	0.509515300	0.498063200	0.755147600	0.950000000	0.760026500	0.574620100
